variable_id,display_name,group,layer,economic_block,frequency,unit,model_tier,persistence_policy,observed_start,observed_end,coverage_rate,risk,na_summary,notes
cre.new_loan,新增人民币贷款,货币金融,RAW_STATE,Credit,monthly,亿元,Supplemental,PERIODIC_REQUIRE_FRESHNESS,2008-02,2026-07,99.6%,,NOT_RELEASED=1,审核P0-2: 退出Baseline特征
cre.tsf_flow,社融增量,货币金融,RAW_STATE,Credit,monthly,亿元,Extended,PERIODIC_REQUIRE_FRESHNESS,2015-02,2026-07,61.9%,,NOT_APPLICABLE=84;NOT_RELEASED=1,与存量互补
cre.tsf_stock,社融存量,货币金融,RAW_STATE,Credit,monthly,万亿元,Extended,PERIODIC_REQUIRE_FRESHNESS,2015-01,2026-07,47.1%,,NOT_APPLICABLE=83;NOT_RELEASED=1;RETROSPECTIVE_NOT_AVAILABLE=34,审核P0-1: 从Baseline降级
ext.fdi,外商直接投资实际使用(年度),宏观,RAW_STATE,External,annual,亿美元,SUPPLEMENTAL,LOW_FREQ_HOLD_WITH_STALE,2008-01,2026-07,100.0%,,,审核P0-2确认: 43行=1983-2025每年一条(年度序列非月度); reference_period=YYYY-FY
ext.forex_reserve,外汇储备,宏观,RAW_STATE,External,monthly,亿美元,EXTENDED,PERIODIC_REQUIRE_FRESHNESS,2008-02,2026-07,99.6%,,NOT_RELEASED=1,央行次月7日左右公布; FOREX_SAME=同比(接口计算)
ext.gold_reserve_value,黄金储备(美元价值),宏观,RAW_STATE,External,monthly,亿美元,CONDITIONAL,PERIODIC_REQUIRE_FRESHNESS,2015-07,2026-07,59.6%,,NOT_APPLICABLE=89;NOT_RELEASED=1,"审核P0-4确认: GOLD_RESERVES列=美元价值非数量(2015-12=601.91亿/2020-12=1182.46亿/2025-12=3194.5亿, 与黄金价×官方盎司量级吻合); 数量需另行提取"
gold.au9999_q,Au9999季度末,资本,RAW_STATE,Gold,quarterly,元/克,Extended,LOW_FREQ_HOLD_WITH_STALE,2016-03,2026-07,56.1%,,NOT_APPLICABLE=98,与基准互证中位差0.81
gold.sge,上海金基准价(早盘第1轮),资本,RAW_STATE,Gold,daily,元/克,Extended,MARKET_LAST_VALID,2016-04,2026-07,55.6%,,NOT_APPLICABLE=99,审核P0-8: canonical_source为Step2.2生成的拼接文件; 源段: sge_gold_benchmark_history_2016_2023.csv + sge_gold_benchmark_daily.csv
gov.fiscal_revenue,财政收入(当月),宏观,RAW_STATE,Government,monthly,亿元,EXTENDED,PERIODIC_REQUIRE_FRESHNESS,2008-02,2026-07,99.6%,,NOT_RELEASED=1,财政部月中发布上月数据; BASE_SAME=东财计算同比标EASTMONEY_DERIVED
gov.tax_revenue_cum,全国税收收入(季度累计),宏观,RAW_STATE,Government,quarterly,亿元,CONDITIONAL,LOW_FREQ_HOLD_WITH_STALE,2008-01,2026-07,100.0%,,,季度末YTD累计值(审核P0-3确认非单月); 单季值须由相邻累计差分(derived)
