生效日期,利率(%),变动bp,官方源
2015-01-22,3.85,0,"2015年首次重启7天逆回购，500亿元，中标利率3.85%；作为2015年基线值。人民网/经济日报转引，央行年度报告与全年调整幅度相容。 [quality:B+, 第四轮手工补充]"
2015-03-03,3.75,-10,"中国金融信息网记录：3月3日7天逆回购3.75%，较前次3.85%下调10bp。 [quality:B+, 第四轮手工补充]"
2015-03-17,3.65,-10,"中国金融信息网年终汇总列示；与当期公开报道相互印证。 [quality:B+, 第四轮手工补充]"
2015-03-24,3.55,-10,"中国金融信息网年终汇总列示；与当期公开报道相互印证。 [quality:B+, 第四轮手工补充]"
2015-04-07,3.45,-10,"中国金融信息网年终汇总列示。 [quality:B+, 第四轮手工补充]"
2015-04-14,3.35,-10,"中国金融信息网年终汇总列示。 [quality:B+, 第四轮手工补充]"
2015-06-25,2.70,-65,"中国金融信息网年终汇总列示。 [quality:B+, 第四轮手工补充]"
2015-06-30,2.50,-20,"中国金融信息网年终汇总列示。 [quality:B+, 第四轮手工补充]"
2015-08-27,2.35,-15,"中国金融信息网年终汇总列示；人民银行2015年三季度报告可用于交叉核验该阶段利率。 [quality:B+, 第四轮手工补充]"
2015-10-27,2.25,-10,"中国金融信息网年终汇总列示；人民银行2015年度报告确认年末为2.25%，全年共9次下调、累计160bp。 [quality:B+, 第四轮手工补充]"
2016-01-01,2.25,0,2016Q3货币政策执行报告: 7天逆回购全年保持2.25%(14天2.40%/28天2.55%为新品种)
2017-02-03,2.35,10,2017Q1货币政策执行报告: 2月3日上调10bp
2017-03-16,2.45,10,2017Q1货币政策执行报告: 3月16日上调10bp
2017-12-14,2.50,5,2017年度货币政策执行报告: 12月14日上调5bp
2018-03-22,2.55,5,新浪财经/人行公开市场操作室答记者问: 上调5BP至2.55%(此前2.50%)
2019-11-18,2.50,-5,"新华社/百度百科: 逾四年来首次下调,较此前降5BP"
2020-02-03,2.40,-10,"新华网: 1.2万亿逆回购,7天中标利率2.40%(此前2.50%)"
2020-03-30,2.20,-20,"央行公告(环球交易银行网转): 500亿7天逆回购,2.40→2.20"
2022-01-17,2.10,-10,"新华网: 7000亿MLF+1000亿逆回购,中标利率2.1%(此前2.2%)"
2022-08-15,2.00,-10,"新浪/财新/东方金诚: 7天逆回购2.0%(此前2.1%),MLF同步降至2.75%"
2023-06-13,1.90,-10,证券日报/新华网: 20亿7天逆回购中标利率1.90%(此前2.0%)
2023-08-15,1.80,-10,"央视/华尔街见闻: 7天逆回购1.80%(此前1.9%),MLF降至2.5%"
2024-07-22,1.70,-10,"央行公告/百度百科: 固定利率数量招标改革,1.80→1.70"
2024-09-27,1.50,-20,"央行公告/百度百科: 逆周期调节,1.70→1.50"
2025-05-08,1.40,-10,人行货币政策大事记: 5月8日7天逆回购由1.50%下调至1.40%
2026-07-31,1.40,0,截至2026-07维持1.40%(央行持续固定利率操作)
