variable_id,display_name,group,layer,economic_block,frequency,unit,model_tier,persistence_policy,observed_start,observed_end,coverage_rate,risk,na_summary,notes
cre.new_loan,新增人民币贷款,货币金融,RAW_STATE,Credit,monthly,亿元,Supplemental,PERIODIC_REQUIRE_FRESHNESS,2008-02,2026-07,99.6%,,NOT_RELEASED=1,审核P0-2: 退出Baseline特征
cre.tsf_flow,社融增量,货币金融,RAW_STATE,Credit,monthly,亿元,Extended,PERIODIC_REQUIRE_FRESHNESS,2015-02,2026-07,61.9%,,NOT_APPLICABLE=84;NOT_RELEASED=1,与存量互补
cre.tsf_stock,社融存量,货币金融,RAW_STATE,Credit,monthly,万亿元,Extended,PERIODIC_REQUIRE_FRESHNESS,2015-01,2026-07,47.1%,,NOT_APPLICABLE=83;NOT_RELEASED=1;RETROSPECTIVE_NOT_AVAILABLE=34,审核P0-1: 从Baseline降级
gold.au9999_q,Au9999季度末,资本,RAW_STATE,Gold,quarterly,元/克,Extended,LOW_FREQ_HOLD_WITH_STALE,2016-03,2026-07,56.1%,,NOT_APPLICABLE=98,与基准互证中位差0.81
gold.sge,上海金基准价(早盘第1轮),资本,RAW_STATE,Gold,daily,元/克,Extended,MARKET_LAST_VALID,2016-04,2026-07,55.6%,,NOT_APPLICABLE=99,审核P0-8: canonical_source为Step2.2生成的拼接文件; 源段: sge_gold_benchmark_history_2016_2023.csv + sge_gold_benchmark_daily.csv
gro.export_yoy,出口同比,宏观,RAW_STATE,Growth,monthly,%,Extended,PERIODIC_REQUIRE_FRESHNESS,2008-01,2025-10,94.2%,,SOURCE_GAP=13,升级核心前须验证增量
gro.fai_official_cum,固投官方累计同比,宏观,RAW_STATE,Growth,monthly,%,Current,PERIODIC_REQUIRE_FRESHNESS,2021-09,2026-07,24.2%,,NOT_APPLICABLE=163;NOT_RELEASED=1;SOURCE_GAP=5,Baseline暂不用FAI
gro.fai_official_samom,固投官方季调环比,宏观,RAW_STATE,Growth,monthly,%,Current,PERIODIC_REQUIRE_FRESHNESS,2022-11,2026-07,18.4%,,NOT_APPLICABLE=163;NOT_RELEASED=1;SOURCE_GAP=18,
gro.gdp_abs,GDP绝对值(累计),宏观,RAW_STATE,Growth,quarterly,亿元,Extended,LOW_FREQ_HOLD_WITH_STALE,2008-01,2026-07,100.0%,,,可相减得单季名义
gro.gdp_yoy,GDP同比(累计),宏观,RAW_STATE,Growth,quarterly,%,Baseline,LOW_FREQ_HOLD_WITH_STALE,2008-01,2026-07,100.0%,,,slow-moving state; 勿制造月度GDP; 勿把累计同比相减当单季
