variable_or_artifact,expected_change,reason,expected_start,expected_end,expected_keys
inf.cpi_core,SOURCE_GAP→HAS_VALUE,official patch(manual_core_cpi),2021-01,2026-07,
inf.ppirm,SOURCE_GAP→HAS_VALUE,official patch(manual_ppirm),2021-01,2026-07,
gro.retail_sa_mom,SOURCE_GAP→HAS_VALUE+values_revised,official revised history(manual_retail_sa_mom),2021-08,2026-07,
gro.fai_official_samom,SOURCE_GAP→HAS_VALUE+values_revised,"official revised history(manual_fai_sa_mom, 2021-01起)",2021-01,2026-07,
gro.export_yoy,SOURCE_GAP→HAS_VALUE,eastmoney official(em_hgjck) 24 个离散key,2012-09,2026-07,2012-09;2012-10;2012-11;2012-12;2013-01;2013-02;2020-01;2021-01;2022-01;2023-01;2024-01;2025-01;2025-08;2025-09;2025-10;2025-11;2025-12;2026-01;2026-02;2026-03;2026-04;2026-05;2026-06;2026-07
gro.import_yoy,SOURCE_GAP→HAS_VALUE,eastmoney official(em_hgjck) 17 个离散key,2021-01,2026-07,2021-01;2022-01;2023-01;2024-01;2025-01;2025-08;2025-09;2025-10;2025-11;2025-12;2026-01;2026-02;2026-03;2026-04;2026-05;2026-06;2026-07
gro.pmi,NOT_RELEASED→HAS_VALUE,eastmoney official(em_pmi),2008-01,2026-07,
liq.m0_yoy,NOT_RELEASED→HAS_VALUE,eastmoney official(em_hbgyl),2026-07,2026-07,
liq.m1_yoy,NOT_RELEASED→HAS_VALUE,eastmoney official(em_hbgyl),2026-07,2026-07,
liq.m2_yoy,NOT_RELEASED→HAS_VALUE,eastmoney official(em_hbgyl),2026-07,2026-07,
cre.new_loan,NOT_RELEASED→HAS_VALUE,eastmoney official(em_xzxd),2026-07,2026-07,
liq.afre_stock_yoy_official,NEW_VARIABLE,official series(manual_afre_official); 2017-19追溯段available=2020-01-31,2008-12,2026-07,
hh.deposit_hist,definition_termination+coverage_extension,旧口径至2014-12终止; 2012-01~2014-12补官方值(manual_deposit_legacy),1994-03,2014-12,
hh.deposit,coverage_extension,household deposit 2015+(manual_deposit_bridge),2015-01,2026-06,
mar.market_balance,coverage_extension,manual沪深北汇总补缺(2025-02起; 2025-01主源已有),2025-02,2026-07,
ext.fdi,IDENTITY_RENAME+frequency_fix,"月度→年度序列(43行1983-2025), reference_period=YYYY-FY",1983-FY,2025-FY,
gov.tax_revenue_cum,IDENTITY_RENAME+aggregation_fix,原gov.tax_revenue(误为月度)→季度YTD累计,2005-Q1,2026-Q2,
ext.gold_reserve_value,IDENTITY_RENAME+unit_fix,原ext.gold_reserve(万盎司误标)→美元价值亿美元,2015-06,2026-07,
liq.fx_loans_change,IDENTITY_RENAME+unit_fix,原liq.fx_loans(亿元误标)→当月变化额亿美元,2008-01,2026-07,
liq.total_deposits_change,IDENTITY_RENAME+flow_fix,原liq.total_deposits(余额误标)→当月新增亿元,2008-01,2026-07,
gov.fiscal_revenue,NEW_VARIABLE,eastmoney new pool,2008-01,2026-07,
ext.forex_reserve,NEW_VARIABLE,eastmoney new pool,2008-01,2026-07,
mar.stock_turnover,NEW_VARIABLE,eastmoney new pool,2008-01,2026-07,
gro.enterprise_boom,NEW_VARIABLE,eastmoney new pool,2004-01,2026-07,
inf.enterprise_goods,NEW_VARIABLE,eastmoney new pool,2003-01,2026-07,
hh.consumer_confidence,NEW_VARIABLE,eastmoney new pool,2003-01,2026-07,
hh.consumer_satisfaction,NEW_VARIABLE,eastmoney new pool,2003-01,2026-07,
rate.rrr_events_em,NEW_VARIABLE(AUDIT_ONLY),eastmoney new pool; 机构BIG/SMALL维度; 交叉验证用,2007-01,2026-07,
