gate_id,link,theta_definition,direction_rule,bootstrap,ci_rule,gate_criteria,machine_executable,verdict_in,notes
Gate B1,P→B,"θ=window-avg Spearman (1/5)Σρ_S(X_t^d,Y_{t+k}^d)",sgn(θ^JP)=sgn(θ^CN)=expected +1,MBB L=3 n=2000 non-circular time-index joint-pair;aux L=2/4,≥2 不同 family(PRICE/ACTIVITY/INVENTORY-SALES)方向一致;每 family θ 至少一国 CI90 不含0;可得 family<2→INFEASIBLE,TRUE,-,Verdict 输入,Property 恶化(资产价格↓/活动↓)⇒ BS 恶化(杠杆↑/流动↓);符号表 B0 冻结
Gate B2,B→R,θ 同 B1,两国方向一致,同 B1,至少一国 bootstrap 90% CI 不跨 0;另一国不得显著反向;θ 为 5-lag window-average 非单 lag,TRUE,-,Verdict 输入,MOF/NBS 双源独立验证杠杆→盈利通道
Gate B3,R→C,θ 同 B1(两腿 B3a quantity / B3b demand),两国方向一致,同 B1,B3a quantity 方向一致 + B3b stance 宽松窗内 demand proxy 中位变化≤全窗;stance/demand 任一缺→整体 INFEASIBLE,TRUE,-,Verdict 输入,若无 demand proxy 数据→INFEASIBLE_AFTER_PRESPECIFIED_MASK
Gate B4,C→I,θ 同 B1,两国方向一致 + I 不进 classifier,同 B1,CI 同 B2;I_q 与 I_ratio 双口径报告,TRUE,-,Verdict 输入,天然 held-out(建议书 §十七)
Verdict-STRONG,全链,-,evaluable≥3 且 ≥3 链 PASS 且不缺 P→B 与 C→I,,,≥3/4 链通过且不缺失 P→B 与 C→I,TRUE,STRONG MECHANISM CORRESPONDENCE,禁 causal equivalence 措辞
Verdict-PARTIAL,全链,-,evaluable≥3 且 ≥2 PASS 非 STRONG,,,≥2 链通过但完整链不闭合,TRUE,PARTIAL MECHANISM CORRESPONDENCE,
Verdict-GEOMETRY,全链,-,evaluable≥3 且 ≤1 PASS 或关键链反向,,,0-1 链通过或关键链方向相反,TRUE,GEOMETRY WITHOUT MECHANISM,与 H6-A feature-geometry 结论衔接
Verdict-INFEASIBLE,全链,-,evaluable<3(minimum evaluable links=3),,,有效数据不足,TRUE,INFEASIBLE,预定出口;禁扩窗/降阈/合并
D-A,D,-,CPI YoY<0 仅描述,,,CPI<0 仅描述,TRUE,,Headline deflation 描述标签
D-B,D,-,六类(CPI/Core/Services/PPI/GDP deflator/Wage)≥3/可得类(需≥4 类可得)YoY<1.0%,,,六类(CPI/Core/Services/PPI/GDP deflator/Wage)≥3 低位/负,TRUE,,阈值 B0 冻结(如 <1% 或 <0.5%)
D-C,D,-,D-B 连续 ≥4 季度,,,D-B 连续 ≥4 季度,TRUE,,persistent regime
D-D,D,-,broad/persistent + 主机制链证据;CPI<0 永不单独触发,,,broad/persistent weakness + 主机制链有证据,TRUE,,CPI<0 永不单独触发 Japanization
D1,D,-,"headline∈[-0.5,+0.5]% 时 core/services/PPI/deflator 同向?",,,"headline∈[-0.5,+0.5]% 时 core/services/PPI/deflator 同向?",TRUE,,口径稳健性检验
D2,D,-,rebase/weight 重叠期差异记录,,,重叠期差异记录;正常 rebase 不自动=manipulation,TRUE,,rebase registry
D3,D,-,负增长类别占比 diffusion,,,负增长类别占比,TRUE,,diffusion index
D4,D,-,CPI↔PPI↔deflator 三角;发散→PRICE_SYSTEM_DIVERGENCE,,,CPI↔PPI↔GDP deflator 三角;发散→PRICE_SYSTEM_DIVERGENCE,TRUE,,禁 STATISTICAL_MANIPULATION 标记
